Split_id	Input_Company_name		CIN	MCA_Company_Name	Company_Address	MCA_Status	status
"sp2,negative"	FANCY STEELS PRIVATE LIMITED		U52100TN2008PTC067664	FANCY STEELS PRIVATE LIMITED	"OLD NO.19&20/12, NEW NO.38/12, VENKATARAMAN STREET T. NAGAR CHENNAI Chennai TN 600017 IN"	Strike Off	
"sp2,negative"	FANCY TRANSPORTS P LTD		U60210TN2002PTC050040	FANCY TRANSPORTS PRIVATE LIMITED	"NO.20, PATHEON ROAD,EGMORE, CHENNAI-8. CHENNAI-8. TN 600008 IN"	Active	
"sp2,negative"	FASHION POINT		U18204UP2012PTC051478	FASHION POINT APPARELS PRIVATE LIMITED	35-B/2 MODAL TOWN BAREILLY UP 243001 IN	Under Process of Striking Off	
"sp2,negative"	KSK ENERGY COMPANY PVT LTD		U40109TG2002PLC038542	KSK ENERGY VENTURES LIMITED	"SONY APARTMENTS, 2ND FLOOR,19 REBELROAD BANDRA (WEST) MUMBAI - 400 050. TG 000000 IN"	Strike Off	
"sp2,negative"	KSK MAHANANDI		U40300TG2009PLC064062	KSK MAHANADI POWER COMPANY LIMITED	"8-2-293/82/A/431/A, ROAD NO. 22 JUBILEE HILLS HYDERABAD TG 500033 IN"	Active	
"sp2,negative"	KVK ENERGY VENTURES PVT LTD		U40300TG2009PTC063658	KVK ENERGY VENTURES PRIVATE LIMITED	"6-3-1109/A/1, 3RD FLOOR, NAVABHARAT CHAMBERS SOMAJIGUDA, RAJBHAVAN ROAD HYDERABAD TG 500082 IN"	Under Process of Striking Off	
"sp2,negative"	FIRSTCORP INTERNATIONAL LTD		U74899DL1995PLC140914	FIRSTCORP INTERNATIONAL LIMITED	"J-4/123D FF, BLOCK-J4 KHIRKI EXTENTION NEW DELHI South Delhi DL 110017 IN"	Strike Off	
"sp2,negative"	FLEET MANAGEMENT IND PVT LTD		U35110MH1998PTC117092	FLEET MANAGEMENT INDIA PRIVATE LIMITED	"601/A, Elegant Business Park, Off Andheri - Kurla Road,Nr. Kohinoor Continental Hotel, Andheri(East) Mumbai Mumbai City MH 400059 IN"	Active	
"sp2,negative"	FLY WINGS AVIATION PRIVATE LTD		U63033MH2008PTC187331	FLY WINGS AVIATION PRIVATE LIMITED	"302, COSMOS COURT PREMISES SOCIETY LIMITED, S. V. ROAD, OPP.INDIAN OIL PETROL PUMP, VILE PARLE MUMBAI MH 400056 IN"	Active	
"sp2,negative"	FOMENTO TRADING PRIVATE LTD		U51900MH2004PTC149418	FOMENTO TRADING PRIVATE LIMITED	1016 MAKER CHAMBER VNARIMAN POINT MUMBAI MH 400021 IN	Active	
"sp2,negative"	FONTASEY ENG EXPORTS PVT LTD		U27101PN1998PTC012694	FONTASEY ENGINEERING EXPORTS PRIVATE LIMITED	"I 3/ I 4, Gulhane Industrial Area Pirangut, Tal. Mulshi, Pune Pune MH 412108 IN"	Strike Off	
"sp2,negative"	FRESHTEX BANGALORE PRIVATE LTD		U18101DL2005PTC132967	FRESHTEX BANGALORE PRIVATE LIMITED	F-8 OKHLA INDL. AREAPHASE-1 NEW DELHI South Delhi DL 110020 IN	Strike Off	
"sp2,negative"	FUTURISTICS GARMENTS PVT LTD		U18101DL2005PTC137264	FUTURISTICS GARMENTS PRIVATE LIMITED	"1596 , 1ST FLOOR BHAGIRATH PALACE , CHANDNI CHOWNK DELHI Central Delhi DL 110006 IN"	Strike Off	
"sp2,negative"	G R POLYFILM PVT LTD		U25209WB1990PTC049788	G R POLYFILM PVT LTD	"620 DIAMOND HARBOUR ROAD INDUSTRIAL ESTATE, PLOT NO. D/1 BEHALA Kolkata WB 700034 IN"	Active	
"sp2,negative"	GALAXY COTTON AND TEXTILES PVT LTD		U17119GJ1994PTC023788	GALAXY COTTON AND TEXTILES PVT LTD	ADITYA CENTREPHULCHHAB CHOWK RAJKOT Rajkot GJ 360001 IN	Active	
"sp2,negative"	GAURINANDAN FASHION PVT LTD		U17120GJ2013PTC074874	GAURINANDAN FASHION PRIVATE LIMITED	"4TH FLR, SHOP NO. 6405, RAGHUKUL MARKET WING-D, RING ROAD, ANJANA SURAT Surat GJ 395002 IN"	Active	
"sp2,negative"	GD FOODS AND PVT LTD		U74899DL1997PTC089673	G.D. FOODS MANUFACTURING (INDIA) PRIVATE LIMITED	"Plot No.119, C-1-Block, Janakpuri New Delhi West Delhi DL 110058 IN"	Active	
"sp2,negative"	GEM SUGARS LTD		U85110KA1995PLC017324	GEM SUGARS LIMITED	"120, HOODI APARTMENTS,CUNNIGHAM ROAD BANGALORE. KA 560052 IN"	Active	
"sp2,negative"	GINI AND LTD		U74899DL1995PLC070127	GINI PRODUCTS LIMITED	3/1 OLD RAJINER NAGAR NEW DELHI DL 110060 IN	Strike Off	
"sp2,negative"	GITAM UNIVERSITY-VISAKHAPATNAM		U80222TG2006PTC049042	GITAM EDUCATION PRIVATE LIMITED	"10-3-168/20/B, FIRST FLOOR. OLD LANCER ROAD, SECUNDERABAD. SECUNDERABAD TG 500025 IN"	Active	
"sp1,negative"	C AND CONSTRUCTIONS LTD		L45201DL1996PLC080401	C & C CONSTRUCTIONS LIMITED	"74, HEMKUNT COLONY NEW DELHI DL 110048 IN"	Active	
"sp1,negative"	CAMBATA AVIATION DELHI PVT LTD		U63013DL1954PTC238906	CAMBATA AVIATION PRIVATE LIMITED	"T9 &T9A, 3RD FLOOR, VASANT SQUARE MALL VASANT KUNJ NEW DELHI New Delhi DL 110070 IN"	Active	
"sp1,negative"	CAPITAL SERVICES PRIVATE LTD		U74920MH2006PTC158731	AXYKNO CAPITAL SERVICES PRIVATE LIMITED	"aXYKno Financial Centre, Level 3, Leela Vista West High Court Road, Bajaj Nagar NAGPUR MH 440010 IN"	Active	
"sp1,negative"	CASCADE APPARELS PVT LTD		U18101MH2006PTC160098	CASCADE APPARELS PVT LTD	"GOOLSANGH,NAVROJI GAMADIA ROAD, OFF PEDDER ROAD, MUMBAI-26. MH 000000 IN"	Strike Off	
"sp1,negative"	CASTEX		L65921HR1983PLC033789	CASTEX TECHNOLOGIES LIMITED	"VILL.NARSINGHPUR,MOHAMMADPUR,OLD MANESAR ROAD GURGAON HR 122001 IN"	Active	
"sp1,negative"	CEMENT CORPORATION OF INDIA		U74899DL1965GOI004322	CEMENT CORPORATION OF INDIA LIMITED	"CORE -5,SCOPE COMPLEX 7- LODHI ROAD NEW DELHI DL 110003 IN"	Active	
"sp1,negative"	CHENNAI NETWORK INFRASTRUCTURE		U64203TN2009PLC073803	CHENNAI NETWORK INFRASTRUCTURE LIMITED	"Door No. 34/1 DL, New No.403/L, Samson Tower, 7th Floor, Pantheon Road, Egmore TN 600008 IN"	Active	
"sp1,negative"	COASTAL ENERGEN JINDAL INDIA THERMAL PWR		U74999DL2001PLC109103	JINDAL INDIA THERMAL POWER LIMITED	"Plot no.2, Pocket C, 2nd Floor, Nelson Mandela Road, Vasant Kunj, New Delhi South West Delhi DL 110070 IN"	Active	
"sp1,negative"	CONNOR INFORMATION TCHNLGY L		U72200TG1997PLC027360	CONNOR INFORMATION TECHNOLOGY LIMITED	"B-93, INDIAN AIRLINES COLONY OPP. AIRPORT BEGUMPET, SECUNDERABAD Hyderabad TG 500003 IN"	Strike Off	
"sp1,negative"	COOL WATERS PRIVATE LIMITED		U15543GA2004PTC003405	COOL WATERS PRIVATE LIMITED	623-A/1BELLA VISTA DONA PAULA GOA GA 403004 IN	Strike Off	
"sp1,negative"	CORE EDUCATION AND		L51900MH1985PLC035915	CORE EDUCATION & TECHNOLOGIES LIMITED	"UNIT NO. 1-4, BUILDING NO.4, SECTOR III MILLENNIUM BUSINESS PARK, MAHAPE, NAVI MUMBAI MH 400710 IN"	Under Liquidation	
"sp1,negative"	COSWAY INDIA PRIVATE LIMITED		U51909KA2007PTC047022	COSWAY INDIA PRIVATE LIMITED	"No.48/2, 2nd Floor, Kudlu Main Road, Kudlu Village, Bangalore Bangalore KA 560068 IN"	Strike Off	
"sp1,negative"	COTTAGE FIELD RESORTS P LTD		U55101TN2002PTC048304	COTTAGE FIELD RESORTS PRIVATE LIMITED	"OLD NO.19&20/12, NEW NO.38/12, VENKATARAMAN STREET T. NAGAR CHENNAI Chennai TN 600017 IN"	Active	
"sp1,negative"	CREATIVE IMPRINTS LLP		AAB-9236	CREATIVE IMPRINTS LLP	"KIRAN KUNJ, OLD MINI LIC COLONY, SHIVPURI, BEHIND A N COLLEGE, BORING ROA D PATNA Patna BR 800023 IN"	Active	
"sp1,negative"	CRYSTAL SCANS ND DIAGNOS P LTD		U85110TZ2011PTC017329	CRYSTAL SCANS AND DIAGNOSTICS PRIVATE LIMITED	"92/4, NEW SCHEME ROAD POLLACHI TN 642002 IN"	Active	
"sp1,negative"	CURIO AUTO MARK P LTD		U22121TN2002PTC049902	CURIO AUTO MARK PRIVATE LIMITED	"OLD NO.19&20/12, NEW NO.38/12, VENKATARAMAN STREET T. NAGAR CHENNAI Chennai TN 600017 IN"	Active	
